threshold,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1,f0_5,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0.15641148184693957,11228,7463,1197,4112,0.63916666666666666,0.35524838012958965,0.774533810510454,0.60071692258306142,0.48708836768538261,0.39838012749714197,0.68762536654675777,0.48229166666666667,0.39928307741693864,0.22546618948954605
0.1564148486919649,11228,7463,1198,4111,0.63912500000000005,0.35519267323310871,0.77434545112073838,0.60071692258306142,0.48699875614523486,0.39831411684914253,0.68753118685189984,0.48225000000000001,0.39928307741693864,0.22565454887926162
0.1564884635526376,11229,7462,1198,4111,0.63916666666666666,0.35522336472824678,0.77434545112073838,0.60077042426836447,0.48702760336453027,0.39834499331408307,0.68755793769455142,0.48220833333333335,0.39922957573163553,0.22565454887926162
0.15650072470485163,11230,7461,1198,4111,0.63920833333333338,0.35525406152782579,0.77434545112073838,0.60082392595366751,0.48705645400154018,0.39837587456635076,0.687584688537203,0.48216666666666669,0.39917607404633249,0.22565454887926162
0.15650654877386996,11231,7460,1198,4111,0.63924999999999998,0.35528476363322098,0.77434545112073838,0.60087742763897067,0.48708530805687206,0.3984067606070591,0.68761143937985447,0.48212500000000003,0.39912257236102938,0.22565454887926162
0.15650680336135803,11232,7459,1198,4111,0.6392916666666667,0.35531547104580813,0.77434545112073838,0.60093092932427372,0.48711416553113335,0.3984376514373219,0.68763819022250605,0.48208333333333331,0.39906907067572628,0.22565454887926162
0.15654637421790571,11233,7458,1198,4111,0.63933333333333331,0.35534618376696342,0.77434545112073838,0.60098443100957677,0.48714302642493185,0.39846854705825335,0.68766494106515763,0.48204166666666665,0.39901556899042318,0.22565454887926162
0.15654980252978468,11234,7457,1198,4111,0.63937500000000003,0.35537690179806364,0.77434545112073838,0.60103793269487993,0.4871718907388754,0.39849944747096799,0.6876916919078091,0.48199999999999998,0.39896206730512013,0.22565454887926162
0.15660218590886882,11235,7456,1198,4111,0.63941666666666663,0.35540762514048585,0.77434545112073838,0.60109143438018298,0.48720075847357192,0.39853035267658066,0.68771844275046068,0.48195833333333332,0.39890856561981702,0.22565454887926162
0.1566138857184477,11236,7455,1198,4111,0.63945833333333335,0.35543835379560784,0.77434545112073838,0.60114493606548602,0.48722962962962962,0.39856126267620656,0.68774519359311226,0.48191666666666666,0.39885506393451392,0.22565454887926162
0.15661411353230709,11236,7455,1199,4110,0.63941666666666663,0.35538261997405968,0.77415709173102276,0.60114493606548602,0.48713997866540237,0.39849521999650955,0.68765101389825434,0.481875,0.39885506393451392,0.22584290826897721
0.15661432818984722,11237,7454,1199,4110,0.63945833333333335,0.3554133517813905,0.77415709173102276,0.60119843775078918,0.48716884964143897,0.39852613206632403,0.68767776474090603,0.48183333333333334,0.39880156224921087,0.22584290826897721
0.15661474622667421,11238,7453,1199,4110,0.63949999999999996,0.3554440889042636,0.77415709173102276,0.60125193943609223,0.48719772403982931,0.39855704893233257,0.6877045155835575,0.48179166666666667,0.39874806056390777,0.22584290826897721
0.15662383156091739,11239,7452,1199,4110,0.63954166666666667,0.35547483134405811,0.77415709173102276,0.60130544112139528,0.48722660186118188,0.39858797059565143,0.68773126642620896,0.48175000000000001,0.39869455887860467,0.22584290826897721
0.15662969676593375,11239,7452,1200,4109,0.63949999999999996,0.35541908139434303,0.77396873234130725,0.60130544112139528,0.4871369294605809,0.39852190949120325,0.68763708673135127,0.48170833333333335,0.39869455887860467,0.22603126765869277
0.15663553362914528,11240,7451,1200,4109,0.63954166666666667,0.35544982698961936,0.77396873234130725,0.60135894280669844,0.48716580710178436,0.39855283322663876,0.68766383757400285,0.48166666666666669,0.39864105719330156,0.22603126765869277
0.15664795693922443,11240,7451,1201,4108,0.63949999999999996,0.35539406523055628,0.77378037295159163,0.60135894280669844,0.48707612046478538,0.39848675914249687,0.68756965787914504,0.48162500000000003,0.39864105719330156,0.22621962704840837
0.15665124821936233,11241,7450,1201,4108,0.63954166666666667,0.35542481398165771,0.77378037295159163,0.60141244449200149,0.48710499792494222,0.39851768494984574,0.6875964087217965,0.48158333333333331,0.39858755550799851,0.22621962704840837
0.1566559036405818,11242,7449,1201,4108,0.63958333333333328,0.35545556805399325,0.77378037295159163,0.60146594617730453,0.48713387880943909,0.39854861555775462,0.68762315956444808,0.48154166666666665,0.39853405382269541,0.22621962704840837
0.15671061359949601,11243,7448,1201,4108,0.639625,0.35548632744894426,0.77378037295159163,0.60151944786260769,0.48716276311888529,0.39857955096734132,0.68764991040709966,0.48149999999999998,0.39848055213739231,0.22621962704840837
