fold,k,metric,weights,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,TN,FP,FN,TP
2,5,manhattan,uniform,0.79458333333333331,0.5545977011494253,0.36346516007532959,0.91706795077581593,0.4391353811149033,0.64026655542557276,0.71025070558492764,0.42738447149060005,3428,310,676,386
2,7,manhattan,uniform,0.80312499999999998,0.59300476947535774,0.3512241054613936,0.93151417870518993,0.44115907746895328,0.64136914208329177,0.72468421232942271,0.44965956760937731,3482,256,689,373
2,9,manhattan,uniform,0.80833333333333335,0.61912751677852351,0.34745762711864409,0.93927233814874267,0.44511459589867308,0.64336498263369335,0.72963690967404549,0.46426353675681775,3511,227,693,369
2,11,manhattan,uniform,0.81145833333333328,0.63747810858143605,0.34274952919020718,0.9446227929373997,0.44580526638089407,0.64368616106380339,0.73653670401908822,0.47503085803344713,3531,207,698,364
2,13,manhattan,uniform,0.80895833333333333,0.62969588550983902,0.33145009416195859,0.9446227929373997,0.43429981492905612,0.63803644354967914,0.74429713060450065,0.48709840083609168,3531,207,710,352
2,15,manhattan,uniform,0.81145833333333328,0.64727954971857415,0.3248587570621469,0.94970572498662387,0.43260188087774293,0.63728224102438535,0.74652963557457952,0.49133754402658225,3550,188,717,345
2,17,manhattan,uniform,0.81354166666666672,0.66150870406189555,0.32203389830508472,0.95318352059925093,0.43318556048131729,0.63760870945216785,0.74941507740022306,0.4954002504486017,3563,175,720,342
2,19,manhattan,uniform,0.81458333333333333,0.67063492063492058,0.31826741996233521,0.95559122525414664,0.43167305236270753,0.63692932260824087,0.7520192676829508,0.49953041708499779,3572,166,724,338
2,21,manhattan,uniform,0.81499999999999995,0.67193675889328064,0.32015065913370999,0.95559122525414664,0.43367346938775508,0.63787094219392837,0.75337678184754941,0.50265579447009268,3572,166,722,340
2,23,manhattan,uniform,0.81416666666666671,0.66865079365079361,0.31732580037664782,0.95532370251471377,0.43039591315453385,0.63632475144568079,0.75321077668249636,0.50387903493017261,3571,167,725,337
2,25,manhattan,uniform,0.81645833333333329,0.68209255533199198,0.3192090395480226,0.95773140716960947,0.43489416292495187,0.63847022335881598,0.75366458291139315,0.50796220797131753,3580,158,723,339
2,27,manhattan,uniform,0.81791666666666663,0.69183673469387752,0.3192090395480226,0.95960406634563933,0.43685567010309279,0.63940655294683091,0.75428653549487668,0.51032573497141831,3587,151,723,339
2,29,manhattan,uniform,0.81874999999999998,0.70168067226890751,0.31450094161958569,0.96201177100053503,0.43433029908972692,0.63825635631006039,0.7571479204263436,0.51526310453466417,3596,142,728,334
