k,metric,weights,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,specificity_mean,specificity_std,specificity_count,f1_mean,f1_std,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count
9,manhattan,uniform,0.80258333333333332,0.0063509213023693689,5,0.59904826984306825,0.025844115533297778,5,0.32491928341063309,0.019883070010827494,5,0.93825869956903019,0.004186399954877071,5,0.4212103823830301,0.022068553624859336,5,0.63158899148983161,0.010854430198901905,5,0.72344819781777026,0.005396658970425996,5,0.45263312171413927,0.012846508069351066,5
11,manhattan,uniform,0.80491666666666661,0.0059504609998815433,5,0.61248005394732918,0.02452511948725412,5,0.32115280506788357,0.017804347179213253,5,0.94232493072956935,0.0034856741624851658,5,0.42130408232320693,0.020586815814889102,5,0.63173886789872635,0.01000490099586385,5,0.72983858147427372,0.006419361935169259,5,0.4625865412139013,0.011105286637867601,5
13,manhattan,uniform,0.80683333333333329,0.0041858931411216035,5,0.62538821038171577,0.016470956517329681,5,0.31569212145738923,0.015424017811242969,5,0.94633768596193202,0.0019202344512420178,5,0.41951952594936304,0.016956991693721789,5,0.63101490370966062,0.0080812318414892094,5,0.73502144260003666,0.0066624998876799709,5,0.47072188950503924,0.013167476116296411,5
15,manhattan,uniform,0.80791666666666662,0.0044316765387880461,5,0.63381671310974563,0.017957598679558328,5,0.31135836390712668,0.01496371355231358,5,0.94895928001967889,0.0018023838851696412,5,0.41754258162916991,0.017176734169828942,5,0.63015882196340278,0.0081442460820709568,5,0.73828264825532797,0.0053531647795021751,5,0.47638522067803751,0.010808471986010855,5
17,manhattan,uniform,0.80870833333333336,0.0044351030302450644,5,0.64119858322851275,0.019523998308064946,5,0.3068378799093347,0.012895691490313631,5,0.95125981817039629,0.0023158111990604279,5,0.41503457833631768,0.015695190191018157,5,0.62904884903986547,0.0073934151385241639,5,0.74131738726066443,0.0049201306144102284,5,0.48062768843663273,0.011833819596414292,5
19,manhattan,uniform,0.80866666666666664,0.0050958691058978862,5,0.64455709785796533,0.023133631541642562,5,0.30081133706431235,0.013966163044434484,5,0.95291837329574991,0.0026580828201676582,5,0.41017647112882383,0.01759272691932761,5,0.6268648551800311,0.0082320902798400219,5,0.74286658051529808,0.0058682707069452099,5,0.48454244058726814,0.012665251414713462,5
21,manhattan,uniform,0.80904166666666666,0.0046012905798264933,5,0.64834661489658996,0.020527411818446101,5,0.29854985258905453,0.014347508786988657,5,0.95404188294223791,0.0023845993218624697,5,0.40879682113365606,0.01715778751836761,5,0.62629586776564616,0.0079814354300843989,5,0.74465770830933964,0.0056513431984766436,5,0.48829887434841046,0.012283531558314664,5
23,manhattan,uniform,0.80895833333333333,0.005396597436245266,5,0.64950667465800171,0.02669753569065917,5,0.29628996558340476,0.014733487848908077,5,0.95457674239298851,0.0037371739760177283,5,0.4068757559465343,0.018212007227658419,5,0.62543335398819655,0.0084707202508238662,5,0.74584546679132169,0.0046521084395557957,5,0.49130097705632086,0.011628526405686224,5
25,manhattan,uniform,0.81004166666666655,0.0057610853288826295,5,0.6567984970617281,0.02938917880250266,5,0.2961005766865285,0.015528572303245355,5,0.95602126501694085,0.0042615716345521673,5,0.4080893820171676,0.01918288901274065,5,0.62606092085173459,0.0089106696472178483,5,0.74714860808508876,0.0045261678237330976,5,0.49414204698668573,0.012167617906035417,5
27,manhattan,uniform,0.80995833333333334,0.0065606809648253647,5,0.65794518848688777,0.03275708096394242,5,0.29346368685335761,0.01759300553887223,5,0.95666331959157946,0.0043460067812905448,5,0.40581158977708343,0.022205843574636792,5,0.62506350322246862,0.010271704436607505,5,0.74861259023761373,0.0039720776354650461,5,0.49694962189444619,0.011534783913007999,5
29,manhattan,uniform,0.80937499999999996,0.0066585236727070233,5,0.65760729636073745,0.034835315699961247,5,0.28875416895193567,0.015534198797654723,5,0.95725186961833175,0.0048603144308578625,5,0.40123778017719391,0.020732897002023219,5,0.6230030192851338,0.0096073722376766747,5,0.74948476821926613,0.0053371788901259778,5,0.49846208384005586,0.013764329629513064,5
31,manhattan,uniform,0.80858333333333332,0.0058303563832372675,5,0.65496722741913849,0.031285776176494418,5,0.28498698062269368,0.014516518369737106,5,0.95730531692679843,0.0045141596347946329,5,0.39707402920809914,0.018649344151481239,5,0.62114614877474605,0.008589596112841132,5,0.74973431117915512,0.0050947539792266724,5,0.49944963968240319,0.012864017606391718,5
1,manhattan,distance,0.72808333333333342,0.0069914382163710417,5,0.38664145879782569,0.014169682151363498,5,0.39046825384147066,0.014945999988880354,5,0.8239791385209706,0.0074541306179487492,5,0.38848433806411276,0.01351825840843522,5,0.60722369618122063,0.0086976612012985392,5,0.60722369618122074,0.0086976612012985045,5,0.28592690913086583,0.0074641840851815393,5
3,manhattan,distance,0.7705833333333334,0.0057742544011230587,5,0.47584334106073012,0.016942788925269802,5,0.36240266528929288,0.013477536626385624,5,0.88652236322676359,0.0062323055748609241,5,0.41135388943542955,0.013266294117912284,5,0.62446251425802823,0.0074716763382283551,5,0.67295681357616333,0.008436651806128596,5,0.39728486700483012,0.014012977766470544,5
5,manhattan,distance,0.78745833333333337,0.0037395688254129103,5,0.52956550259847335,0.012206615337702443,5,0.348084900184774,0.019880113122906551,5,0.91225700614078808,0.0026234823205796361,5,0.41993691210483808,0.017844166569587962,5,0.63017095316278104,0.0093126876423348017,5,0.69891223999724317,0.006997427689713679,5,0.44317589022749893,0.013845325536613181,5
7,manhattan,distance,0.79541666666666666,0.004307515235028217,5,0.56223186067671382,0.015200089064302209,5,0.33885596326529888,0.018792682379500558,5,0.92509735352110434,0.0034540111520899122,5,0.42271984744068891,0.017770557165470061,5,0.63197665839320161,0.0090831768043183169,5,0.71281253199833672,0.007923335181852887,5,0.46368250386772497,0.015867561221494002,5
9,manhattan,distance,0.80066666666666664,0.0059006532124276914,5,0.58741261204659212,0.023624552440595935,5,0.33245224009613217,0.019832044012345836,5,0.93365749447890012,0.0049571175146608908,5,0.42442651575708207,0.020519684013755535,5,0.63305486728751625,0.010251289696163911,5,0.72192274439188464,0.0059164519266403327,5,0.4773448550785398,0.017080178686536777,5
11,manhattan,distance,0.80312499999999998,0.005925609438886632,5,0.60006889743574932,0.023988081604826069,5,0.32962915630530132,0.017418366556993341,5,0.93761670223381122,0.0039167388594537811,5,0.42544286353901456,0.019709273476825318,5,0.63362292926955632,0.009752243217062511,5,0.7283298083089963,0.0062049586437229872,5,0.4844565212148213,0.015334440458929274,5
13,manhattan,distance,0.80591666666666661,0.0050423553248677613,5,0.6165256056198769,0.021248308671034194,5,0.32435555413558259,0.015949598892014166,5,0.94269940532535534,0.0036359930928562632,5,0.42498725066591936,0.017617821464350161,5,0.63352747973046886,0.008580012270757045,5,0.73346546930856693,0.0068084857604144948,5,0.49008601918387534,0.0158527634170492,5
15,manhattan,distance,0.80758333333333332,0.0051719562976154689,5,0.62751524582041063,0.022632345292834539,5,0.32039986439257995,0.015803325075132293,5,0.94596302533803089,0.0040258878597367988,5,0.42410060676109057,0.017687111646019538,5,0.63318144486530548,0.0085356898763496707,5,0.73691659170128709,0.0057161863964742821,5,0.49342574170693243,0.01404324760165474,5
17,manhattan,distance,0.80862499999999993,0.0052963398000673723,5,0.63522099888670402,0.023172369729338577,5,0.31663356354645356,0.014092415108255606,5,0.94837068706336169,0.0031914171302313164,5,0.42258641039825262,0.017367943512257934,5,0.63250212530490757,0.0083310745216793689,5,0.74005853514309594,0.0049895238895821042,5,0.49634933437853751,0.014401897589872727,5
19,manhattan,distance,0.80920833333333331,0.004703445102617148,5,0.64136047727291756,0.021620263996929491,5,0.3119238681484085,0.012521056777702596,5,0.95045717840282273,0.0031210497091512185,5,0.41968426070194065,0.015406566828478069,5,0.63119052327561564,0.0073189787690365916,5,0.7418495504882705,0.0054358900841337734,5,0.49939634890958723,0.014929558058658036,5
21,manhattan,distance,0.80883333333333329,0.0049860917672171897,5,0.64107328582780743,0.023048750668461977,5,0.30853368264668762,0.013087059393123117,5,0.95093869071409176,0.0032069982896495491,5,0.41654733737038646,0.016328172401957174,5,0.62973618668038978,0.0077301111604439181,5,0.74375505489293148,0.0051778017208137864,5,0.50217438032677175,0.014933181597383759,5
23,manhattan,distance,0.80879166666666669,0.0054534010794488079,5,0.64271664600131806,0.026292933975171053,5,0.30551978998599549,0.014078155200862068,5,0.95174114445355029,0.003902455661197513,5,0.41410685210023546,0.017513742367747602,5,0.628630467219773,0.0082732621962307989,5,0.7450618656933079,0.0042282924773040095,5,0.50382214075553555,0.014672656815347703,5
25,manhattan,distance,0.80995833333333334,0.0056354070394249332,5,0.64957636384164552,0.026472964337591658,5,0.30589643782027048,0.015668006899205444,5,0.95313221976903617,0.0036888749886391562,5,0.41586411466868034,0.019102685257527507,5,0.6295143287946533,0.0089951651648907203,5,0.74652599221214233,0.0042246091411454146,5,0.50607989596861269,0.014980887833817777,5
27,manhattan,distance,0.81004166666666655,0.0057459980034416771,5,0.65318282881153267,0.028642287954393799,5,0.3013750663393629,0.015169085085896599,5,0.95452322353524688,0.0041657068617263274,5,0.41237147813910868,0.018837512579001306,5,0.62794914493730492,0.0088117477215143535,5,0.74778166092580878,0.003989479596069434,5,0.50775599879435174,0.014294292678313766,5
29,manhattan,distance,0.8091666666666667,0.0060380736442456028,5,0.65052793092951045,0.030485108824513801,5,0.2970425512654622,0.016568501107998245,5,0.95463018970145497,0.0046321541703686648,5,0.40773258320528105,0.020033358341152743,5,0.62583637048345853,0.0093794776447253415,5,0.74865983785737078,0.0050378279609362957,5,0.50854894691305463,0.015651843564981633,5
31,manhattan,distance,0.80879166666666669,0.0057365482749743594,5,0.65066890874458405,0.029966628650994691,5,0.29327536293622014,0.014575728269021374,5,0.95521872541835218,0.0045892635883569861,5,0.40421487643290011,0.018179557168160224,5,0.62424704417728616,0.0084844990145083021,5,0.7492782718796055,0.0047664634154040708,5,0.50936982999901903,0.01526793931461309,5
