threshold,TP,TN,FP,FN,accuracy,precision,recall,specificity,f1,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0.11205550987116063,4484,7685,11006,825,0.50704166666666661,0.28947708198837963,0.84460350348464874,0.41116045155422398,0.43117457570075485,0.62788197751943642,0.64541666666666664,0.58883954844577602,0.15539649651535126
0.11205662828385231,4484,7686,11005,825,0.50708333333333333,0.28949577119245917,0.84460350348464874,0.41121395323952703,0.43119530724108085,0.62790872836208789,0.64537500000000003,0.58878604676047297,0.15539649651535126
0.11206275245599227,4484,7687,11004,825,0.50712500000000005,0.28951446280991733,0.84460350348464874,0.41126745492483013,0.43121604077511178,0.62793547920473947,0.64533333333333331,0.58873254507516992,0.15539649651535126
0.11206806121759466,4483,7687,11004,826,0.50708333333333333,0.28946858655646673,0.84441514409493312,0.41126745492483013,0.43114060396230042,0.62784129950988166,0.64529166666666671,0.58873254507516992,0.15558485590506688
0.11207882056839279,4483,7688,11003,826,0.50712500000000005,0.28948727883249387,0.84441514409493312,0.41132095661013324,0.43116133685982205,0.62786805035253312,0.64524999999999999,0.58867904338986676,0.15558485590506688
0.11208817175157693,4483,7689,11002,826,0.50716666666666665,0.28950597352276397,0.84441514409493312,0.41137445829543628,0.43118207175146678,0.6278948011951847,0.64520833333333338,0.58862554170456372,0.15558485590506688
0.11209122642204351,4483,7690,11001,826,0.50720833333333337,0.28952467062774478,0.84441514409493312,0.41142795998073939,0.43120280863752225,0.62792155203783628,0.64516666666666667,0.58857204001926067,0.15558485590506688
0.11212019239969026,4483,7691,11000,826,0.50724999999999998,0.28954337014790416,0.84441514409493312,0.41148146166604249,0.43122354751827624,0.62794830288048775,0.64512499999999995,0.58851853833395751,0.15558485590506688
0.11215562423746446,4483,7692,10999,826,0.5072916666666667,0.2895620720837101,0.84441514409493312,0.4115349633513456,0.43124428839401663,0.62797505372313933,0.64508333333333334,0.58846503664865435,0.15558485590506688
0.11216250015493286,4483,7693,10998,826,0.5073333333333333,0.28958077643563079,0.84441514409493312,0.41158846503664864,0.43126503126503124,0.62800180456579091,0.64504166666666662,0.58841153496335141,0.15558485590506688
0.11216922506639559,4483,7694,10997,826,0.50737500000000002,0.28959948320413437,0.84441514409493312,0.41164196672195175,0.43128577613160807,0.62802855540844238,0.64500000000000002,0.58835803327804825,0.15558485590506688
0.11216970636648048,4483,7695,10996,826,0.50741666666666663,0.28961819238968928,0.84441514409493312,0.41169546840725485,0.43130652299403505,0.62805530625109396,0.6449583333333333,0.58830453159274509,0.15558485590506688
0.11217447860541913,4483,7696,10995,826,0.50745833333333334,0.28963690399276393,0.84441514409493312,0.4117489700925579,0.43132727185260017,0.62808205709374554,0.64491666666666669,0.58825102990744216,0.15558485590506688
0.11217568618794956,4483,7697,10994,826,0.50749999999999995,0.28965561801382694,0.84441514409493312,0.411802471777861,0.43134802270759165,0.62810880793639701,0.64487499999999998,0.588197528222139,0.15558485590506688
0.11218721473795373,4483,7698,10993,826,0.50754166666666667,0.28967433445334712,0.84441514409493312,0.4118559734631641,0.43136877555929759,0.62813555877904859,0.64483333333333337,0.58814402653683584,0.15558485590506688
0.11219470304517641,4483,7699,10992,826,0.50758333333333339,0.28969305331179324,0.84441514409493312,0.41190947514846715,0.43138953040800615,0.62816230962170017,0.64479166666666665,0.5880905248515329,0.15558485590506688
0.11219506912504185,4483,7700,10991,826,0.50762499999999999,0.28971177458963421,0.84441514409493312,0.41196297683377026,0.43141028725400565,0.62818906046435163,0.64475000000000005,0.58803702316622974,0.15558485590506688
0.11220020386810642,4483,7701,10990,826,0.50766666666666671,0.28973049828733921,0.84441514409493312,0.41201647851907336,0.43143104609758443,0.62821581130700321,0.64470833333333333,0.58798352148092659,0.15558485590506688
0.11220288334452658,4483,7702,10989,826,0.50770833333333332,0.28974922440537748,0.84441514409493312,0.41206998020437646,0.43145180693903085,0.62824256214965479,0.64466666666666672,0.58793001979562354,0.15558485590506688
0.11221025529023967,4483,7703,10988,826,0.50775000000000003,0.2897679529442182,0.84441514409493312,0.41212348188967951,0.4314725697786333,0.62826931299230626,0.644625,0.58787651811032049,0.15558485590506688
0.11223217250768781,4483,7704,10987,826,0.50779166666666664,0.28978668390433099,0.84441514409493312,0.41217698357498261,0.43149333461668032,0.62829606383495784,0.64458333333333329,0.58782301642501733,0.15558485590506688
0.11223698671111457,4483,7705,10986,826,0.50783333333333336,0.28980541728618525,0.84441514409493312,0.41223048526028572,0.43151410145346036,0.62832281467760942,0.64454166666666668,0.58776951473971428,0.15558485590506688
0.11223990345528324,4483,7706,10985,826,0.50787499999999997,0.28982415309025084,0.84441514409493312,0.41228398694558877,0.43153487028926218,0.62834956552026089,0.64449999999999996,0.58771601305441123,0.15558485590506688
0.11224757799388989,4483,7707,10984,826,0.50791666666666668,0.28984289131699748,0.84441514409493312,0.41233748863089187,0.43155564112437428,0.62837631636291247,0.64445833333333336,0.58766251136910808,0.15558485590506688
0.11225519205019645,4482,7707,10984,827,0.50787499999999997,0.28979697400750032,0.8442267847052175,0.41233748863089187,0.43148014440433213,0.62828213666805466,0.64441666666666664,0.58766251136910808,0.1557732152947825
0.11225691057241592,4482,7708,10983,827,0.50791666666666668,0.289815712900097,0.8442267847052175,0.41239099031619497,0.43150091460479445,0.62830888751070624,0.64437500000000003,0.58760900968380503,0.1557732152947825
0.11225960828471293,4481,7708,10983,828,0.50787499999999997,0.28976978789446456,0.84403842531550199,0.41239099031619497,0.43142540798151446,0.62821470781584843,0.64433333333333331,0.58760900968380503,0.15596157468449801
0.11226096366725395,4481,7709,10982,828,0.50791666666666668,0.28978852745262884,0.84403842531550199,0.41244449200149802,0.43144617754669745,0.62824145865850001,0.64429166666666671,0.58755550799850198,0.15596157468449801
0.11226278726821293,4481,7710,10981,828,0.50795833333333329,0.28980726943474322,0.84403842531550199,0.41249799368680112,0.43146694911174233,0.62826820950115159,0.64424999999999999,0.58750200631319882,0.15596157468449801
0.1122633353116012,4481,7711,10980,828,0.50800000000000001,0.28982601384127804,0.84403842531550199,0.41255149537210423,0.43148772267693791,0.62829496034380306,0.64420833333333338,0.58744850462789577,0.15596157468449801
0.11227036605507031,4481,7712,10979,828,0.50804166666666661,0.28984476067270376,0.84403842531550199,0.41260499705740733,0.43150849824257309,0.62832171118645463,0.64416666666666667,0.58739500294259273,0.15596157468449801
0.11231733300756705,4481,7713,10978,828,0.50808333333333333,0.28986350992949089,0.84403842531550199,0.41265849874271038,0.43152927580893685,0.62834846202910621,0.64412499999999995,0.58734150125728957,0.15596157468449801
0.11232254244804618,4480,7713,10978,829,0.50804166666666661,0.28981757019019277,0.84385006592578637,0.41265849874271038,0.43145374873597536,0.6282542823342484,0.64408333333333334,0.58734150125728957,0.15614993407421363
0.11232838998136453,4480,7714,10977,829,0.50808333333333333,0.28983632011386429,0.84385006592578637,0.41271200042801348,0.4314745256669556,0.62828103317689998,0.64404166666666662,0.58728799957198652,0.15614993407421363
0.11233627301915519,4480,7715,10976,829,0.50812500000000005,0.28985507246376813,0.84385006592578637,0.41276550211331658,0.43149530459908497,0.62830778401955145,0.64400000000000002,0.58723449788668347,0.15614993407421363
0.11234674992365798,4480,7716,10975,829,0.50816666666666666,0.2898738272403753,0.84385006592578637,0.41281900379861963,0.43151608553265269,0.62833453486220303,0.6439583333333333,0.58718099620138031,0.15614993407421363
