stage,outer_fold,inner_fold,configuration_id,row_type,validation_rows,average_precision,roc_auc,oof_average_precision,oof_roc_auc,selected_threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,TP,TN,FP,FN,predicted_positive_rate,k,selected
1,3,3,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.4953055207086115,0.73896955885323812,,,,,,,,,,,,,,,,
1,3,3,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50371098612919663,0.74599260679565194,,,,,,,,,,,,,,,,
1,3,3,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50589780080992697,0.74702630860780195,,,,,,,,,,,,,,,,
1,3,3,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50777330107307062,0.74640819986461127,,,,,,,,,,,,,,,,
1,3,3,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50879680513357306,0.74933812036817171,,,,,,,,,,,,,,,,
1,3,3,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51124054875525382,0.75136767192035436,,,,,,,,,,,,,,,,
1,3,3,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51118918280075043,0.75516875715485665,,,,,,,,,,,,,,,,
1,3,0,k13__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.48302118941765892,0.73339995164100225,0.4823783741436159,0.73333865466634163,0.29876123346321082,0.75531250000000005,0.45501695591462182,0.53708500117730162,0.81729418845716584,0.49265658747300212,0.67718959481723373,2281,12221,2732,1966,0.26109375000000001,13,False
1,3,0,k19__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.49623715301617871,0.73972948757849721,0.49597323779166741,0.7396302622560027,0.27477313697641192,0.75994791666666661,0.4640444974175606,0.55003531904874015,0.81956797966963135,0.50339403081564482,0.68480164935918575,2336,12255,2698,1911,0.26218750000000002,19,False
1,3,0,k25__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50201612151865815,0.74475371318226102,0.50134015601066362,0.74467704639437615,0.29126341598228478,0.77713541666666663,0.49638172772501132,0.5168354132328703,0.85106667558349491,0.50640212250547934,0.68395104440818255,2195,12726,2227,2052,0.2303125,25,False
1,3,0,k31__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50379299972163616,0.74530048116758085,0.50325125729266507,0.7451682015468577,0.30510060313623172,0.78838541666666662,0.52268244575936884,0.49917588886272662,0.87052765331371607,0.51065879802481007,0.68485177108822126,2120,13017,1936,2127,0.21124999999999991,31,False
